Krondor: The Betrayal,Raymond E. Feist,1998
The Dark Is Rising,Susan Cooper,1973
The Black Unicorn ,Terry Brooks,1987
"I, Robot",Isaac Asimov,1950
Four Blondes,Candace Bushnell,2000
"Love, Stargirl",Jerry Spinelli,2007
The Tenth Circle,Jodi Picoult,2006
Vanishing Acts,Jodi Picoult,2005
Aztec,Gary Jennings,1980
Marlfox,Brian Jacques,1998
Lady Midnight,Cassandra Clare,2016
The Secret Keeper,Kate Morton,2012
The Afghan,Frederick Forsyth,2006
A Touch of Dead,Charlaine Harris,2009
Daja's Book,Tamora Pierce,1998
Steve Jobs,Walter Isaacson,2011
Cold Fire,Tamora Pierce,2002
Thanks for the Memories,Cecelia Ahern,2008
Bitterblue,Kristin Cashore,2012
Daisy Miller,Henry James,1878
The Brothers K,David James Duncan,1992
The Pact,Jodi Picoult,1998
Plum Spooky,Janet Evanovich,2009
Twice Tempted ,Jeaniene Frost,2013
Legend,Marie Lu,2011
Thr3e,Ted Dekker,2003
The Lion's Game,Nelson DeMille,2000
The Rainmaker,John Grisham,1995
Eleanor & Park,Rainbow Rowell,2013
The Lightning Thief,Rick Riordan,2005
The Final Detail,Harlan Coben,1999
A Cry in the Night,Mary Higgins Clark,1982
Half Bad,Sally Green,2014
Lady Windermere's Fan,Oscar Wilde,1893
The Awakening,Kelley Armstrong,2009
Ham on Rye,Charles Bukowski,1982
The Van Alen Legacy ,Melissa de la Cruz,2009
A Pocket for Corduroy,Don Freeman,1978
The Street Lawyer,John Grisham,1998
Revolutionary Road,Richard Yates,1961
Neuromancer,William Gibson,1984
Catch-22,Joseph Heller,1961
sTORI Telling,Tori Spelling,2008
The Snowy Day,Ezra Jack Keats,1962
Invisible Monsters,Chuck Palahniuk,1999
Noughts & Crosses,Malorie Blackman,2001
Separation of Power,Vince Flynn,2001
The Weight of Blood,Laura McHugh,2014
Lincoln in the Bardo,George Saunders,2017
Kiss of Midnight,Lara Adrian,2007
Did You Ever Have a Family,Bill Clegg,2015
The Tiger Who Came to Tea,Judith Kerr,1968
Tuesday,David Wiesner,1991
My Man Jeeves,P.G. Wodehouse,1919
Hit List,Laurell K. Hamilton,2011
Cabal,Clive Barker,1988
The Sea Wolf,Jack London,1904
One Good Dog,Susan  Wilson,2010
A Knight of the Word ,Terry Brooks,1998
The Lonely Polygamist,Brady Udall,2010
Born at Midnight,C.C. Hunter,2011
Lover Reborn,J.R. Ward,2012
The Plot Against America,Philip Roth,2004
I Am Legend ,Richard Matheson,1954
Hex Hall,Rachel Hawkins,2010
